Group,Num,Time,Priority,Category,Message,Source,Destination,Notes,Rule
2,12,UTC 11/01/2014 07:39:31.320,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1366,X0",Port: 1366,
2,13,UTC 11/01/2014 07:39:31.320,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
2,14,UTC 11/01/2014 07:39:38.784,Notice,Network Access,TCP connection dropped,"81.163.64.80,32195,X1","173.240.220.68,26965,X1",Port: 26965,
2,15,UTC 11/01/2014 07:40:02.608,Notice,Network Access,Web management request allowed,"216.255.240.34,54299,X1","173.240.220.68,80,X1",TCP HTTP,
2,16,UTC 11/01/2014 07:40:35.000,Notice,Network Access,UDP packet dropped,"174.239.64.50,5638,X1","173.240.220.68,25091,X1",Port: 25091,
2,17,UTC 11/01/2014 07:40:35.080,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1375,X0",Port: 1375,
2,18,UTC 11/01/2014 07:40:40.592,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
2,19,UTC 11/01/2014 07:41:02.608,Notice,Network Access,Web management request allowed,"216.255.240.34,54323,X1","173.240.220.68,80,X1",TCP HTTP,
2,20,UTC 11/01/2014 07:41:06.800,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
2,21,UTC 11/01/2014 07:41:29.000,Notice,Network Access,TCP connection dropped,"213.24.127.19,20803,X1","173.240.220.68,26965,X1",Port: 26965,
2,22,UTC 11/01/2014 07:41:37.208,Info,Network Access,DNS packet allowed,"4.2.2.3,53,X1,c.resolvers.level3.net","173.240.220.68,1024,X1",Port: 1024,
