"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"80" ,"" ,"UTC 11/01/2014 07:26:57.720","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54061, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"81" ,"" ,"UTC 11/01/2014 07:27:21.480","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"27.106.44.74, 49368, X1"                                    ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                      ,""
"82" ,"" ,"UTC 11/01/2014 07:27:21.784","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"83" ,"" ,"UTC 11/01/2014 07:27:30.432","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"173.240.220.50, 57307, X1"                                  ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                   ,""
"84" ,"" ,"UTC 11/01/2014 07:27:47.528","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                ,"172.30.51.1, 1261, X0"                       ,"Port:  1261"                                                      ,""
"85" ,"" ,"UTC 11/01/2014 07:27:50.816","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"27.106.44.74, 49066, X1"                                    ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                      ,""
"86" ,"" ,"UTC 11/01/2014 07:28:02.512","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54083, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"87" ,"" ,"UTC 11/01/2014 07:28:26.192","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"178.184.188.13, 53347, X1"                                  ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                      ,""
"88" ,"" ,"UTC 11/01/2014 07:28:47.528","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1269, X0"                       ,"Port:  1269"                                                      ,""
"89" ,"" ,"UTC 11/01/2014 07:28:52.144","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"178.184.87.41, 44285, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
