"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                            ,"Destination"                                 ,"Notes"                                ,"Rule"
"105","" ,"UTC 11/01/2014 11:26:10.576","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"106","" ,"UTC 11/01/2014 11:26:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58264, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"107","" ,"UTC 11/01/2014 11:26:49.432","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                           ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"108","" ,"UTC 11/01/2014 11:26:57.832","Notice"  ,"Network Access","UDP packet dropped"            ,"79.2.123.11, 15927, X1, host11-123-dynamic.2-79-r.retail.telecomitalia.it"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"109","" ,"UTC 11/01/2014 11:27:40.272","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"110","" ,"UTC 11/01/2014 11:27:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58281, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"111","" ,"UTC 11/01/2014 11:27:50.240","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2529, X0"                       ,"Port:  2529"                          ,""
"112","" ,"UTC 11/01/2014 11:28:14.864","Notice"  ,"Network Access","TCP connection dropped"        ,"186.0.202.188, 21969, X1"                                                          ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"113","" ,"UTC 11/01/2014 11:28:15.208","Notice"  ,"Network Access","UDP packet dropped"            ,"186.0.202.188, 26767, X1"                                                          ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"114","" ,"UTC 11/01/2014 11:28:45.048","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"115","" ,"UTC 11/01/2014 11:28:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58302, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"116","" ,"UTC 11/01/2014 11:28:50.624","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2532, X0"                       ,"Port:  2532"                          ,""
"117","" ,"UTC 11/01/2014 11:29:17.496","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 33601, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"118","" ,"UTC 11/01/2014 11:29:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58317, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"119","" ,"UTC 11/01/2014 11:30:17.656","Notice"  ,"Network Access","UDP packet dropped"            ,"95.52.204.135, 58926, X1"                                                          ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"120","" ,"UTC 11/01/2014 11:30:17.688","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2538, X0"                       ,"Port:  2538"                          ,""
