"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"63" ,"" ,"UTC 11/01/2014 07:50:02.672","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54487, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"64" ,"" ,"UTC 11/01/2014 07:50:42.864","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"65" ,"" ,"UTC 11/01/2014 07:50:51.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"104.33.182.21, 55351, X1, cpe-104-33-182-21.socal.res.rr.com"        ,"173.240.220.68, 23666, X1"                   ,"Port: 23666"                                                                                                             ,""
"66" ,"" ,"UTC 11/01/2014 07:50:51.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1458, X0"                       ,"Port:  1458"                                                                                                             ,""
"67" ,"" ,"UTC 11/01/2014 07:51:00.736","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"68" ,"" ,"UTC 11/01/2014 07:51:02.688","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54505, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"69" ,"" ,"UTC 11/01/2014 07:51:09.944","Notice"  ,"Network Access","TCP connection dropped"                               ,"95.245.6.152, 52333, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"70" ,"" ,"UTC 11/01/2014 07:51:52.736","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1475, X0"                       ,"Port:  1475"                                                                                                             ,""
"71" ,"" ,"UTC 11/01/2014 07:52:02.688","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54524, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"72" ,"" ,"UTC 11/01/2014 07:52:06.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"178.120.135.162, 22087, X1, mm-162-135-120-178.dynamic.pppoe.mgts.by","173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"73" ,"" ,"UTC 11/01/2014 07:52:07.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
