"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"76" ,"" ,"UTC 11/01/2014 13:04:59.112","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"77" ,"" ,"UTC 11/01/2014 13:05:12.016","Notice"  ,"Network Access","TCP connection dropped"        ,"107.167.183.204, 45229, X1, 204.183.167.107.bc.googleusercontent.com","173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"78" ,"" ,"UTC 11/01/2014 13:05:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43679, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"79" ,"" ,"UTC 11/01/2014 13:05:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2898, X0"                       ,"Port:  2898"                          ,""
"80" ,"" ,"UTC 11/01/2014 13:05:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43685, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"81" ,"" ,"UTC 11/01/2014 13:05:50.272","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2899, X0"                       ,"Port:  2899"                          ,""
"82" ,"" ,"UTC 11/01/2014 13:06:16.736","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 53152, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"83" ,"" ,"UTC 11/01/2014 13:06:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43700, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"84" ,"" ,"UTC 11/01/2014 13:06:50.240","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2905, X0"                       ,"Port:  2905"                          ,""
"85" ,"" ,"UTC 11/01/2014 13:06:50.336","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"86" ,"" ,"UTC 11/01/2014 13:07:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43720, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"87" ,"" ,"UTC 11/01/2014 13:08:05.000","Notice"  ,"Network Access","UDP packet dropped"            ,"36.68.106.136, 60554, X1"                                            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"88" ,"" ,"UTC 11/01/2014 13:08:14.320","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2912, X0"                       ,"Port:  2912"                          ,""
"89" ,"" ,"UTC 11/01/2014 13:08:14.320","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"90" ,"" ,"UTC 11/01/2014 13:08:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43736, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"91" ,"" ,"UTC 11/01/2014 13:09:04.832","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"92" ,"" ,"UTC 11/01/2014 13:09:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2915, X0"                       ,"Port:  2915"                          ,""
"93" ,"" ,"UTC 11/01/2014 13:09:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43754, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"94" ,"" ,"UTC 11/01/2014 13:09:44.560","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 55625, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"95" ,"" ,"UTC 11/01/2014 13:10:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2920, X0"                       ,"Port:  2920"                          ,""
"96" ,"" ,"UTC 11/01/2014 13:10:21.912","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"97" ,"" ,"UTC 11/01/2014 13:10:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43809, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"98" ,"" ,"UTC 11/01/2014 13:11:06.016","Notice"  ,"Network Access","UDP packet dropped"            ,"46.139.55.104, 57389, X1, 2e8b3768.catv.pool.telekom.hu"             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"99" ,"" ,"UTC 11/01/2014 13:11:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2924, X0"                       ,"Port:  2924"                          ,""
"100","" ,"UTC 11/01/2014 13:11:24.912","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"101","" ,"UTC 11/01/2014 13:11:35.224","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43841, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"102","" ,"UTC 11/01/2014 13:11:35.224","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43840, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"103","" ,"UTC 11/01/2014 13:12:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2926, X0"                       ,"Port:  2926"                          ,""
"104","" ,"UTC 11/01/2014 13:12:26.832","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"105","" ,"UTC 11/01/2014 13:12:27.560","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 56871, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"106","" ,"UTC 11/01/2014 13:12:35.240","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43870, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
