"#"  ," ","Time"                       ,"Priority","Category"        ,"Message"                                              ,"Source"                                                                ,"Destination"                                 ,"Notes"                                                                                                               ,"Rule"
"98" ,"" ,"UTC 11/01/2014 10:50:05.688","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"103.227.97.220, 11496, X1"                                             ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                         ,""
"99" ,"" ,"UTC 11/01/2014 10:50:05.864","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2377, X0"                       ,"Port:  2377"                                                                                                         ,""
"100","" ,"UTC 11/01/2014 10:50:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57651, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"101","" ,"UTC 11/01/2014 10:51:06.096","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2380, X0"                       ,"Port:  2380"                                                                                                         ,""
"102","" ,"UTC 11/01/2014 10:51:11.272","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 49908, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"103","" ,"UTC 11/01/2014 10:51:18.912","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"104","" ,"UTC 11/01/2014 10:51:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57669, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"105","" ,"UTC 11/01/2014 10:52:18.128","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2385, X0"                       ,"Port:  2385"                                                                                                         ,""
"106","" ,"UTC 11/01/2014 10:52:18.128","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                               ,""
"107","" ,"UTC 11/01/2014 10:52:19.320","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"108","" ,"UTC 11/01/2014 10:52:38.528","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"2.100.241.29, 53750, X1, host-2-100-241-29.as13285.net"                ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                         ,""
"109","" ,"UTC 11/01/2014 10:52:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57683, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"110","" ,"UTC 11/01/2014 10:53:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2388, X0"                       ,"Port:  2388"                                                                                                         ,""
