"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"89" ,"" ,"UTC 11/01/2014 09:37:03.544","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56384, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"90" ,"" ,"UTC 11/01/2014 09:37:05.592","Notice"  ,"Network Access","UDP packet dropped"                                   ,"81.34.96.97, 11738, X1, 97.red-81-34-96.dynamicip.rima-tde.net"               ,"173.240.220.68, 10573, X1"                   ,"Port: 10573"                                                                                                              ,""
"91" ,"" ,"UTC 11/01/2014 09:37:11.336","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"92" ,"" ,"UTC 11/01/2014 09:37:23.208","Notice"  ,"Network Access","TCP connection dropped"                               ,"39.50.176.5, 54203, X1"                                                       ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"93" ,"" ,"UTC 11/01/2014 09:37:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2009, X0"                       ,"Port:  2009"                                                                                                              ,""
"94" ,"" ,"UTC 11/01/2014 09:38:03.544","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56400, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"95" ,"" ,"UTC 11/01/2014 09:38:20.144","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"96" ,"" ,"UTC 11/01/2014 09:38:26.832","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 57783, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"97" ,"" ,"UTC 11/01/2014 09:38:59.288","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2015, X0"                       ,"Port:  2015"                                                                                                              ,""
"98" ,"" ,"UTC 11/01/2014 09:39:03.544","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56423, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"99" ,"" ,"UTC 11/01/2014 09:39:43.944","Notice"  ,"Network Access","UDP packet dropped"                                   ,"46.173.12.74, 4780, X1"                                                       ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"100","" ,"UTC 11/01/2014 09:40:03.560","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56438, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"101","" ,"UTC 11/01/2014 09:40:07.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2022, X0"                       ,"Port:  2022"                                                                                                              ,""
"102","" ,"UTC 11/01/2014 09:40:28.416","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"103","" ,"UTC 11/01/2014 09:40:43.752","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.44.46.138, 41150, X1"                                                      ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                              ,""
"104","" ,"UTC 11/01/2014 09:41:03.560","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56454, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"105","" ,"UTC 11/01/2014 09:41:07.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2025, X0"                       ,"Port:  2025"                                                                                                              ,""
"106","" ,"UTC 11/01/2014 09:41:43.816","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
