"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"66" ,"" ,"UTC 11/01/2014 13:37:27.288","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 3024, X0"                       ,"Port:  3024"                                                                                                           ,""
"67" ,"" ,"UTC 11/01/2014 13:37:31.848","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"68" ,"" ,"UTC 11/01/2014 13:37:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44293, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"69" ,"" ,"UTC 11/01/2014 13:37:49.016","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.242.210.99, 21579, X1"                                           ,"173.240.220.68, 55521, X1"                   ,"Port: 55521"                                                                                                           ,""
"70" ,"" ,"UTC 11/01/2014 13:38:03.608","Info"    ,"Network Access","ICMP packet allowed"                                  ,"178.215.171.6, 4, X1"                                                ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                                                                                                       ,""
"71" ,"" ,"UTC 11/01/2014 13:38:39.416","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.4, 53, X1, d.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"72" ,"" ,"UTC 11/01/2014 13:38:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44307, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"73" ,"" ,"UTC 11/01/2014 13:38:51.416","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"74" ,"" ,"UTC 11/01/2014 13:39:06.320","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.87.42.196, 35691, X1, 196.42.87.109.triolan.net"                 ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"75" ,"" ,"UTC 11/01/2014 13:39:06.672","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
