"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"100","" ,"UTC 11/01/2014 08:31:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1743, X0"                       ,"Port:  1743"                          ,""
"101","" ,"UTC 11/01/2014 08:31:33.048","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55265, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"102","" ,"UTC 11/01/2014 08:31:57.848","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"103","" ,"UTC 11/01/2014 08:32:27.416","Notice"  ,"Network Access","UDP packet dropped"            ,"78.20.158.103, 14453, X1, 78-20-158-103.access.telenet.be"       ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"104","" ,"UTC 11/01/2014 08:32:27.560","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1746, X0"                       ,"Port:  1746"                          ,""
"105","" ,"UTC 11/01/2014 08:32:33.048","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55279, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"106","" ,"UTC 11/01/2014 08:33:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1751, X0"                       ,"Port:  1751"                          ,""
"107","" ,"UTC 11/01/2014 08:33:28.320","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"108","" ,"UTC 11/01/2014 08:33:33.048","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55294, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"109","" ,"UTC 11/01/2014 08:33:54.208","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                         ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"110","" ,"UTC 11/01/2014 08:34:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1753, X0"                       ,"Port:  1753"                          ,""
"111","" ,"UTC 11/01/2014 08:34:33.064","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55310, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"112","" ,"UTC 11/01/2014 08:34:33.448","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 53657, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"113","" ,"UTC 11/01/2014 08:34:37.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55312, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"114","" ,"UTC 11/01/2014 08:35:24.560","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"115","" ,"UTC 11/01/2014 08:35:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1759, X0"                       ,"Port:  1759"                          ,""
"116","" ,"UTC 11/01/2014 08:35:33.064","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55327, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"117","" ,"UTC 11/01/2014 08:35:54.176","Notice"  ,"Network Access","UDP packet dropped"            ,"184.66.150.163, 54201, X1, s01065039555fa9e5.gv.shawcable.net"   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
