No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
11595,79.824381,24.6.173.220,184.73.220.117,TCP,54,"11008 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,39.0437,-77.4875
11596,79.824438,24.6.173.220,66.94.240.25,TCP,54,"10991 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.4249,-122.0074
11597,79.824545,24.6.173.220,68.142.253.12,TCP,54,"10974 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.4249,-122.0074
11598,79.824624,24.6.173.220,23.62.228.24,TCP,54,"10986 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,42.3626,-71.0843
11599,79.824676,24.6.173.220,208.71.123.129,TCP,54,"10985 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,40.7517,-73.9972
11600,79.824727,24.6.173.220,68.142.253.31,TCP,54,"11001 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.4249,-122.0074
11601,79.824794,24.6.173.220,63.215.202.49,TCP,54,"10978 > 80 [FIN, ACK] Seq=1195 Ack=7484 Win=256960 Len=0",37.4404,-121.8705,52.35,4.9167
11602,79.82491,24.6.173.220,208.71.123.129,TCP,54,"10984 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,40.7517,-73.9972
11603,79.824965,24.6.173.220,204.144.141.26,TCP,54,"11010 > 80 [FIN, ACK] Seq=1 Ack=1 Win=66240 Len=0",37.4404,-121.8705,40.015,-105.2706
11604,79.825025,24.6.173.220,68.142.253.12,TCP,54,"10999 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.4249,-122.0074
11605,79.825077,24.6.173.220,216.52.121.177,TCP,54,"10998 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,33.7516,-84.3915
11606,79.825192,24.6.173.220,184.73.46.94,TCP,54,"11006 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,39.0437,-77.4875
11607,79.825249,24.6.173.220,207.171.163.14,TCP,54,"11011 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,47.6103,-122.3341
11608,79.825367,24.6.173.220,205.251.215.159,TCP,54,"10981 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,47.6103,-122.3341
